label,meeting_date,meeting_no,ministry,topic,news_count,question_type,evidence_score,candidate_score,top_title,question_text
확실,2025-10-21,46,보건복지부,비상진료체계·오늘부터·해제,2,부처협의 확인,7,0.722,비상진료체계 오늘부터 해제…1년 8개월 만에 '의료대란' 공식 종료,"어제 코스피 지수가 사상 최초 3,800선을 넘어서고 오늘도 사상 최고가를 갱신하고 있는 것 같음. 주식 시장이 정상화 흐름을 타고 있음. 지금 특별한 엄청난 성과가 있어서라기보다는 당연히 있어야 할 자리로 되돌아가는 중이라는 생각이고, 여기에 더해서 이제 정책 효과가 더해지고 실질적인 성과가 나면 더 나은 결과가 생길 수 있을 것으로 보임. 비생산적인 분야에 집중됐던 과거의 투자 방식에서 벗어나 국민들의 자산 증식 수단이 차츰 다양화, 건실화되는 과정이라고 생각되며 아직도 가야 할 길은 멀었음. 생산적 금융으로 전환 추세가 더 굳건히 뿌리내리려면 일관되고 실효성 있는 정책을 통해서 우리 사회 전체의 인식을 바꿔야 함. 특히 이를 위해서는 가용한 정책 수단 역량을 집중적으로 투입해서 경고등이 켜진 비생산적 투기 수요를 철저하게 억제해야 함. 그래야만 합리적이고 지속 가능한 투자 문화가 정착되고 이를 바탕으로 경제 산업과 국민 자산의 동반 성장이 실현될 수 있을 것임. 정부 각 부처는"
확실,2025-10-14,45,법무부,캄보디아·한국인·범죄,2,대안 요구,6,0.622,캄보디아 한국인 실종·납치·감금 신고 486건..정부 전방위 대응,"그런데 이 사람들 데리고 오면 범죄 사실에 대한 증거는 어떻게 확보하며, 재판은 가능한 것인지?"
확실,2025-09-02,40,고용노동부,김영훈·노동부·산재,2,검토결과 확인,6,0.622,"김영훈 노동부 장관 ""산재 사망자 OECD 평균 수준 감축…직 걸겠다""","규정 개정을 한번 검토해 보시기 바람. 그다음에 하도급의 부실 공사, 산재, 임금체불 등 모든 문제는 원청 아닌지?"
확실,2025-06-05,24,행정안전부,고기동·행안부·대통령선거,2,검토결과 확인,6,0.622,대통령선거 투·개표 지원상황 점검하는 고기동 행안부 장관 직무대행,건설 현장에서 하도급업체에 대금 미지급이 문제가 많은 것 알고 있는데 그중에 제일 큰 게 인건비라고 알고 있음. 민간 부문에서는 아직도 이런 문제가 많이 발생하는 것 같은데 표준 약관이라도 만들어서 인건비는 직접 지급할 수 있게 하는 부분을 검토해 주시기 바람. 그리고 현재 공정위 직원이 많이 부족한 것으로 알고 있는데 행안부 등 관계 부처에서는 공정거래위원회에서 공정거래 사건을 원활히 처리할 수 있도록 인력 문제 등에도 협조를 부탁드림.
가능,2026-03-24,11,행정안전부,대전·공장·화재,5,예산/재정 확인,5,0.599,"윤호중 행안부 장관, 대전 공장 화재 중대본 회의 주재","중동 전쟁의 확대 및 장기화로 원유·천연가스의 수급 불안이 커지고 있음. 국제에너지기구는 이번 사태가 역사상 최악의 에너지 안보 위협이라며 세계 경제에 미칠 충격을 경고하고 있음. 비단, 에너지만이 아님. 배달 용기부터 의료 도구까지 우리 일상에 석유화학 제품이 쓰이지 않는 곳이 없기 때문에 언제, 어디서, 어떤 문제가 벌어질지 예측하기가 어려운 상황임. 민생과 경제 산업 전반에 발생할지 모를 중대한 위기에 대처하기 위해서 정부 차원의 비상 대응 체계를 선제적으로 가동해야겠음. 각 부처는 수급 우려 품목을 포괄적이고 꼼꼼하게 점검하시고, 또 그것들이 국민의 일상에 미칠 영향 그리고 대체 공급처는 어디인지 등을 세밀하게 파악해서 최악의 상황까지 가정한 대비책을 철저하게 수립·시행해 주시기 바람. 오는 27일에 석유 최고가격 2차 고시가 예정돼 있음. 그간 국제유가가 큰 폭으로 올라 가격 인상이 불가피한 상황이지만, 국민 삶에 미칠 충격을 조금이라도 덜기 위한 구체적 방안을 신속하게 마"
가능,2025-09-30,44,보건복지부,서비스·복구·밤새워,2,예산/재정 확인,5,0.542,"李대통령 ""밤새워 국민 서비스 복구…필요 예산 과감 지원"" 지시","특히 복지부는 기초지방정부의 창구 사무가 많은데, 필요하면 임시로 지원 요원을 뽑아서 하도록 하고, 그 예산 지원은 기재부가 잘 해주시기 바람. 환경부는 어떤지?"
가능,2025-06-19,26,기획재정부,김민석·공직·기강,2,예산/재정 확인,5,0.542,"김민석, 공직 기강 다잡기…""3년간 후진…100일간 전속력 달려야""","제가 일반적인 말씀을 하나 드리고 싶음. 우리가 행정을 하다 보면 대개 행정 공급자 중심의 사고를 하는 경향들이 많이 있음. 그런데 그것은 악의가 있는 것이 아니고 오랫동안 일을 하다 보면 아주 자연스럽게 되는 것 같음. 똑같은 정책을 결정하더라도 정책 수요자들의 입장을 물어보고 그들이 원하는 내용을 들어보고 결정하는 것과 우리가 일방적으로 정해서 통보하는 것은 내용은 똑같지만, 수용성에 있어서는 완전히 다름. 예를 들어, 정책 수요자들한테 어떤 제재나 불이익을 주는 내용도 미리 한 번 의논하고 의견을 듣는 것과, 일방적으로 통보하여 시행하는 것은 수용성에 있어 큰 차이가 있음. 요즘은 결과도 중요하지만, 그 결과에 이르는 과정들을 매우 중시하는 사회 문화 때문임. 요즘은 상품의 본질적 내용도 중요하지만, 그것을 어떻게 포장하느냐, 스토리를 어떻게 부여하느냐에 따라서 완전히 다른 결과를 만들어냄. 우리가 가난했던 시절에는 밥 많이 주면 좋아했지만, 이제는 어떤 정도 여유가 갖춰지다 "
가능,2026-03-05,8,기획재정부,부산시·시는·중동,1,대안 요구,4,0.618,"부산시, 중동 정세 대응 긴급 점검회의…경제 충격 최소화","제가 해외에 나가 있는 며칠 사이 많은 일들이 벌어진 것 같음. 우리 대한민국은 지금까지 수없이 많은 위기 상황을 슬기롭게 극복해 왔음. 우리 국민의 단합된 힘으로 또 대한민국의 저력으로 지금의 혼란도 큰 무리 없이 잘 이겨낼 것이고, 넘어진 김에 쉬어간다고 오히려 좋은 기회로 만들 수 있을 것임. 중동 지역 위기가 고조되면서 글로벌 경제 안보 환경이 많이 악화되고 있음. 세계 각국 금융시장이 불확실성에 직면한 가운데 에너지 수급, 수출입 불안으로 경제 산업과 경제 전반에 상당한 어려움이 예상됨. 각 부처는 엄중한 상황 인식을 바탕으로 예상 가능한 모든 문제에 대해서 신속히 대처하고 빠짐없이 세밀하게 추진해 나가야겠음. 첫째, 주식 환율 등 금융시장 변동성 확대에 적극적으로 대응해야 함. 정부는 자본시장 안정과 체질 개선을 위한 정책적 노력을 가속화하고 자본시장 불안을 사전 차단하기 위해 마련된 100조 원 규모 시장 안정 프로그램을 적절하게 또 신속하게 집행하고 관리해 주시기 바람"
가능,2026-03-24,11,행정안전부,유가족·대통령은·대전공장,1,관리 지시,4,0.588,"[종합] 대전공장 화재 유가족 만난 李대통령 ""유가족에 사고 원인, 구조...","이번 BTS 공연은 광화문 홍보와 더불어 대한민국 홍보에서는 아마 결정적이었던 것 같음. 기획을 잘해서 잘 진행하셨음. 행안부나 관련 부처들도 고생 많았고, 안전 문제를 잘 챙겨서 사고 없이 잘하신 것 같음."
가능,2026-03-05,8,국토교통부,전북·고창군·교통,1,대안 요구,4,0.588,"'이 대통령 전북 방문' 고창군 ""교통·에너지 현안 국가계획 반영 기대...","제가 해외에 나가 있는 며칠 사이 많은 일들이 벌어진 것 같음. 우리 대한민국은 지금까지 수없이 많은 위기 상황을 슬기롭게 극복해 왔음. 우리 국민의 단합된 힘으로 또 대한민국의 저력으로 지금의 혼란도 큰 무리 없이 잘 이겨낼 것이고, 넘어진 김에 쉬어간다고 오히려 좋은 기회로 만들 수 있을 것임. 중동 지역 위기가 고조되면서 글로벌 경제 안보 환경이 많이 악화되고 있음. 세계 각국 금융시장이 불확실성에 직면한 가운데 에너지 수급, 수출입 불안으로 경제 산업과 경제 전반에 상당한 어려움이 예상됨. 각 부처는 엄중한 상황 인식을 바탕으로 예상 가능한 모든 문제에 대해서 신속히 대처하고 빠짐없이 세밀하게 추진해 나가야겠음. 첫째, 주식 환율 등 금융시장 변동성 확대에 적극적으로 대응해야 함. 정부는 자본시장 안정과 체질 개선을 위한 정책적 노력을 가속화하고 자본시장 불안을 사전 차단하기 위해 마련된 100조 원 규모 시장 안정 프로그램을 적절하게 또 신속하게 집행하고 관리해 주시기 바람"
